samplenr	P	N	C	Wr	RVl	RHl	Rt	V
S1-28	1.27255008121278	2.52021551132202	36.9881057739257	NA	NA	NA	NA	S
S1-33	1.302457002457	3.12282180786132	40.5416946411132	0.0107	0.734	1.263	0.513	S
S1-56	1.17585185185185	2.48772192001342	36.4012374877929	0.0509	1.133	0.478	0.462	S
S1-63	1.24758425642234	3.12421917915344	42.855369567871	0.0141	2.025	1.096	0.739	S
S1-78	0.95619335347432	2.69010782241821	46.6164627075195	0.1138	1.503	0.942	0.637	S
S2-22	1.22482269503546	1.81114745140075	23.9458465576171	0.0467	1.477	1.392	0.525	S
S2-29	1.04718826405868	1.19118165969848	16.6473121643066	0.0475	1.222	1.218	0.526	S
S2-56	1.31748681898067	1.86188292503356	21.2235717773437	0.0756	1.778	2.125	0.826	S
S2-73	1.45296610169492	1.66423654556274	20.6131763458251	0.0668	2.22	0.773	0.697	S
S2-78	1.05263157894737	1.55155086517333	20.8528976440429	0.093	2.172	1.06	0.769	S
S3-23	1.36361009439414	2.9269003868103	40.277488708496	0.0998	4.64	1.191	0.78	S
S3-27	0.911285131945934	3.04270267486572	46.7895317077636	0.0844	4.105	0.831	0.821	S
S3-55	1.03104761904762	3.02344489097595	43.4954605102539	0.1602	2.477	1.647	0.86	S
S3-73	1.45639589169001	2.84683322906494	38.5862312316894	0.1677	1.895	1.490	0.775	S
S3-77	1.31859243697479	2.90445780754089	42.0952606201171	0.019	1.114	0.466	0.488	S
S4-18	0.730276816608997	0.61236560344696	9.56671905517578	0.0608	1.061	1.941	0.671	S
S4-22	0.988707124010554	2.65259099006652	44.1504516601562	0.0322	1.811	0.997	0.698	S
S4-46	0.831121433311214	0.843935012817382	11.9321041107177	0.0487	1.831	0.852	0.533	S
S4-68	0.825250965250965	1.67925822734832	27.287088394165	0.0292	1.159	1.092	0.586	S
S4-73	1.02492307692308	0.997397899627685	14.2960700988769	0.0139	1.754	0.83	0.576	S
S5-13	0.79646772228989	2.69255971908569	47.4748420715332	0.0021	2.233	0.842	0.539	S
S5-29	0.803261802575107	2.46533989906311	45.7581825256347	0.0481	4.948	0.826	0.788	S
S5-56	1.05994180407371	2.60793685913085	38.1391944885253	0.1308	4.549	0.84	0.612	S
S5-74	0.993644617380026	2.79266548156738	44.3984909057617	0.1273	6.809	0.555	0.540	S
S5-88	2.12813008130081	1.03600001335144	14.0258665084838	0.0194	1.679	0.594	0.622	S
R1-14	2.25553956834532	0.0791928023099899	1.79788970947265	0.0171	1.866	1.027	0.632	R
R1-29	2.74262159934048	0.0855046659708023	1.84387564659118	0.0257	0.892	1.236	0.531	R
R1-55	2.80212201591512	0.439599305391312	7.42088556289672	0.047	2.13	0.783	0.487	R
R1-73	0.991566014160766	1.12476193904876	17.6590137481689	0.0829	2.47	1.256	0.729	R
R1-89	2.99368111682586	0.15192799270153	3.02171635627746	0.0467	1.101	1.261	0.665	R
R2-12	1.15216792842395	0.115403771400452	2.78456878662109	0.0421	2.381	0.643	0.702	R
R2-25	2.0157145195613	0.159876525402069	2.88668465614318	0.0439	1.493	0.928	0.514	R
R2-45	2.09551374819103	0.0979213267564774	1.9292938709259	0.0679	0.487	2.046	0.532	R
R2-63	0.75906976744186	0.298136234283447	4.5930323600769	0.005	0.811	1.282	0.5	R
R2-77	0.658346709470305	0.267995238304138	4.59743499755859	0.067	1.455	1.034	0.582	R
R3-29	1.09770114942529	0.318845808506012	5.1857852935791	0.0771	0.959	2.131	0.711	R
R3-34	0.88262380538662	0.482873022556305	9.15200519561767	0.042	1.892	0.952	0.662	R
R3-57	1.57456588355465	0.1610157340765	3.41861033439636	0.0497	1.493	1.726	1.617	R
R3-68	1.84002586485613	0.28075385093689	4.06559371948242	0.0387	1.354	1.412	0.682	R
R3-72	0.792978003384095	0.420649141073227	6.92867612838745	0.0544	1.686	1.572	0.825	R
R4-12	0.964135021097046	0.859074473381042	14.1031684875488	0.0518	1.979	0.498	0.499	R
R4-28	1.79483394833948	0.16975836455822	2.38559579849243	0.0803	1.918	0.614	0.711	R
R4-45	0.89137104506232	1.52075886726379	22.2709255218505	0.1481	1.873	1.311	0.685	R
R4-64	1.21457236017055	1.73659980297088	25.2715148925781	0.0952	1.279	1.52	0.579	R
R4-90	1.24404494382022	2.38797211647033	40.6738967895507	0.1044	2.616	1.233	0.944	R
R5-28	0.688699690402477	0.829899251461029	14.3582763671875	0.0316	2.66	0.837	0.716	R
R5-32	0.395320512820513	0.221849337220192	4.70519495010375	0.0643	2.206	1.033	0.815	R
R5-45	0.737971500419112	0.432862758636475	7.1324028968811	0.1407	1.357	2.586	0.842	R
R5-77	1.19794871794872	1.59416317939758	22.8184909820556	NA	1.057	1.197	0.719	R
R5-92	1.14175506268081	0.979062020778656	16.482078552246	0.11	1.023	1.166	0.648	R
