Taxa,R1,R2,R3,R4,R5,S1,S2,S3,S4,S5
Barbilophozia.barbata,0,0,0,0,0,0,0,0,0,1.77
Dicranum.sp.,1.33,1,2.09,1,2.09,0,1.77,1,2.09,1.77
Lescuraea.radicosa,0,0,0,0,0,0,0,0,0,1.33
Polytrichum.sp.,1,3.56,1.33,2.09,1.33,3.82,2.96,3.28,3.93,4.74
Ptilidum.cilaiare,0,0,0,1.33,1,0,0,0,0,1.77
Sphagnum.sp.,0,0,0,0,0,0,0,2.09,0,1.77
Anthoxanthum.odoratum,0,1.77,1.77,0,0,2.35,0,3.56,2.09,0
Avenella.flexuosa,2.09,1.77,2.78,0,2.09,3.28,1,4.26,0,2.58
Bistorta.vivipara,1,1.77,1,2.09,1.33,1.77,2.09,2.09,3.28,1.33
Cared.bigelowii,2.35,3.13,2.78,4.99,2.78,3.43,0,1.33,0,1.33
Carex.lachenalii,0,0,0,0,0,1.33,1,0,0,0
Cerastium.cerastoides,0,0,0,0,0,0,1,0,1,0
Dechampsia.alpina,0,0,0,1,0,1.77,2.58,1.33,0,1
Empetrum.nigrum,5.6,2.09,2.78,1.77,4.65,0,0,0,1.77,2.58
Festuca.ovina,1,0,0,0,1.77,0,0,0,0,0
Hieracium.alpinum,1,1.33,1,0,0,1,0,1.33,0,0
Leontodon.sp.,0,0,0,0,0,1.33,0,0,0,0
Lutzula.multiflora,0,0,1,0,0,0,0,1,1,0
Lutzula.spicata,1,0,0,1,1,0,0,0,0,1
Lychnis.alpina,0,1,0,1,1,0,0,0,0,0
Omalotheca.norvegica,0,0,0,0,0,0,0,1.77,0,0
Omalotheca.supinum,0,0,0,0,0,0,0,0,1,0
Oxyria.digyna,0,0,0,0,0,0,1,0,0,0
Phleum.alpinum,0,0,0,0,0,0,0,1.33,1,0
Pyrola.minor,0,0,0,0,0,1,0,0,0,0
Rubus.chamaemorus,1.33,0,0,0,0,1,0,0,0,1.77
Rumex.acetosa,1,1.33,1,0,0,0,2.35,2.09,0,0
Salix.herbaceae,1,1.33,2.35,3.43,1.77,5.15,6.96,4.74,5.87,5.07
Sibbaldia.procumbens,0,0,0,0,0,1.33,1,0,0,0
Silene.dioica,0,1,0,0,0,0,0,0,0,0
Solidago.virgaurea,0,0,1.77,0,0,0,0,1,0,0
Taraxacum.sp.,0,0,0,0,0,0,1,0,0,0
Trientalis.europaea,1,1.77,1,0,1,0,0,0,0,0
Vaccinium.myrtillus,1.33,1,1.77,0,0,0,0,1.33,0,1
Vaccinium.oliginosum,0,0,0,0,0,0,0,0,3.13,1
Vaccinium.vitis-idaea,3.13,0,0,0,1.33,0,0,0,0,0
Veronica.alpina,0,0,0,0,0,0,1,0,1.33,0
Viola.palustris,0,0,1.77,0,0,2.35,0,2.78,0,0
Cetraria.islandica,2.78,1.77,1.33,0,0,2.09,1,0,0,0
Cetraria.ericetorum,1.77,0,0,2.35,2.96,0,0,0,0,0
Cladonia.sp.,0,1,0,2.09,1,1,0,0,0,1
Cladonia.ecmocyna,0,0,0,0,0,0,0,0,1,0
Cladonia.gracilis,0,0,1,0,0,0,1,0,0,0
Cladonia.arbuscula,4.74,5.87,6.12,3.43,4.46,1,0,0,1,0
Cladonia.uncialis,0,1,1,0,1.33,0,0,0,0,0
Flavocetraria.nivalis,0,0,0,0,1,0,0,0,0,0
Stereocaulon.paschale,0,1.33,2.35,0,1,1.33,1,0,0,0
Empty,0,0,0,0,0,1.77,0,0,0,3.28
Rock,0,2.96,1.33,4.56,3.69,0,2.35,0,1.77,1.33
