	R1	R2	R3	R4	R5	S1	S2	S3	S4	S5
Barbilophozia.barbata	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77
Dicranum.sp.	1.33	1.00	2.09	1.00	2.09	0.00	1.77	1.00	2.09	1.77
Lescuraea.radicosa	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33
Polytrichum.sp.		1.00	3.56	1.33	2.09	1.33	3.82	2.96	3.28	3.93	4.74
Ptilidum.cilaiare	0.00	0.00	0.00	1.33	1.00	0.00	0.00	0.00	0.00	1.77
Sphagnum.sp.	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.09	0.00	1.77
Anthoxanthum.odoratum	0.00	1.77	1.77	0.00	0.00	2.35	0.00	3.56	2.09	0.00
Avenella.flexuosa	2.09	1.77	2.78	0.00	2.09	3.28	1.00	4.26	0.00	2.58
Bistorta.vivipara	1.00	1.77	1.00	2.09	1.33	1.77	2.09	2.09	3.28	1.33
Cared.bigelowii		2.35	3.13	2.78	4.99	2.78	3.43	0.00	1.33	0.00	1.33
Carex.lachenalii		0.00	0.00	0.00	0.00	0.00	1.33	1.00	0.00	0.00	0.00
Cerastium.cerastoides	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00
Dechampsia.alpina	0.00	0.00	0.00	1.00	0.00	1.77	2.58	1.33	0.00	1.00
Empetrum.nigrum		5.60	2.09	2.78	1.77	4.65	0.00	0.00	0.00	1.77	2.58
Festuca.ovina	1.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00
Hieracium.alpinum	1.00	1.33	1.00	0.00	0.00	1.00	0.00	1.33	0.00	0.00
Leontodon.sp.	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00
Lutzula.multiflora	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00
Lutzula.spicata		1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00
Lychnis.alpina	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
Omalotheca.norvegica	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00
Omalotheca.supinum	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Oxyria.digyna	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
Phleum.alpinum	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	1.00	0.00
Pyrola.minor	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
Rubus.chamaemorus	1.33	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.77
Rumex.acetosa	1.00	1.33	1.00	0.00	0.00	0.00	2.35	2.09	0.00	0.00
Salix.herbaceae		1.00	1.33	2.35	3.43	1.77	5.15	6.96	4.74	5.87	5.07
Sibbaldia.procumbens	0.00	0.00	0.00	0.00	0.00	1.33	1.00	0.00	0.00	0.00
Silene.dioica	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Solidago.virgaurea	0.00	0.00	1.77	0.00	0.00	0.00	0.00	1.00	0.00	0.00
Taraxacum.sp.	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
Trientalis.europaea	1.00	1.77	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
Vaccinium.myrtillus	1.33	1.00	1.77	0.00	0.00	0.00	0.00	1.33	0.00	1.00
Vaccinium.oliginosum	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.13	1.00
Vaccinium.vitis-idaea	3.13	0.00	0.00	0.00	1.33	0.00	0.00	0.00	0.00	0.00
Veronica.alpina		0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.33	0.00
Viola.palustris		0.00	0.00	1.77	0.00	0.00	2.35	0.00	2.78	0.00	0.00
Cetraria.islandica	2.78	1.77	1.33	0.00	0.00	2.09	1.00	0.00	0.00	0.00
Cetraria.ericetorum	1.77	0.00	0.00	2.35	2.96	0.00	0.00	0.00	0.00	0.00
Cladonia.sp.	0.00	1.00	0.00	2.09	1.00	1.00	0.00	0.00	0.00	1.00
Cladonia.ecmocyna	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
Cladonia.gracilis	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
Cladonia.arbuscula	4.74	5.87	6.12	3.43	4.46	1.00	0.00	0.00	1.00	0.00
Cladonia.uncialis	0.00	1.00	1.00	0.00	1.33	0.00	0.00	0.00	0.00	0.00
Flavocetraria.nivalis	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
Stereocaulon.paschale	0.00	1.33	2.35	0.00	1.00	1.33	1.00	0.00	0.00	0.00
Empty	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	3.28
Rock	0.00	2.96	1.33	4.56	3.69	0.00	2.35	0.00	1.77	1.33
